subject_id,is_responsive,sessions_evaluated,num_trials,num_frames,mean_gamma,mean_tau,frame_accuracy,frame_f1,frame_auc,frame_kappa,trial_accuracy,trial_f1,trial_auc,trial_kappa,trial_acc_ci_low,trial_acc_ci_high,trial_f1_ci_low,trial_f1_ci_high
Sub 01,False,3,72,2505,0.9039,1.1000,71.74,0.7155,0.8801,0.6219,72.22,0.7220,0.8463,0.6296,61.11,83.33,0.6066,0.8213
Sub 02,True,3,72,2505,0.9019,1.1000,80.80,0.7948,0.9223,0.7424,79.17,0.7835,0.9135,0.7222,69.44,87.50,0.6826,0.8667
Sub 03,False,3,72,2505,0.9294,1.1000,67.27,0.6710,0.8637,0.5635,65.28,0.6503,0.8250,0.5370,54.17,76.39,0.5318,0.7547
Sub 04,True,3,72,2505,0.8751,1.1000,62.44,0.6197,0.8298,0.4970,63.89,0.6378,0.7887,0.5185,52.78,75.00,0.5208,0.7489
Sub 05,False,3,72,2505,0.9117,1.1000,58.76,0.5691,0.8203,0.4468,56.94,0.5655,0.8041,0.4259,45.83,68.06,0.4509,0.6698
Sub 06,False,3,72,2505,0.9106,1.1000,57.88,0.5728,0.7667,0.4364,54.17,0.5341,0.7582,0.3889,43.06,65.28,0.4193,0.6410
Sub 07,True,3,72,2505,0.9190,1.1000,73.85,0.7285,0.8797,0.6508,70.83,0.7021,0.8656,0.6111,59.72,81.94,0.5824,0.8022
Sub 08,True,3,72,2505,0.8532,1.1000,70.82,0.6953,0.8426,0.6091,69.44,0.6873,0.8405,0.5926,58.33,80.56,0.5657,0.7919
Sub 09,False,3,72,2505,0.9318,1.1000,62.67,0.6195,0.8500,0.5011,59.72,0.5909,0.8057,0.4630,47.22,70.83,0.4619,0.6977
Sub 10,False,3,72,2505,0.9715,1.1000,56.05,0.5481,0.7788,0.4117,54.17,0.5344,0.7553,0.3889,43.02,65.28,0.4140,0.6371
Sub 11,False,3,72,2505,0.9031,1.1000,53.97,0.5272,0.7163,0.3818,54.17,0.5349,0.7180,0.3889,41.67,65.28,0.4204,0.6363
Sub 12,False,3,72,2505,0.9370,1.1000,34.97,0.3415,0.6062,0.1319,36.11,0.3604,0.5923,0.1481,25.00,45.87,0.2719,0.4465
Sub 13,False,3,72,2505,0.8527,1.1000,51.38,0.5168,0.7656,0.3517,52.78,0.5239,0.7265,0.3704,40.28,65.28,0.3965,0.6441
Sub 14,True,3,72,2505,0.9615,1.1000,69.34,0.6870,0.8294,0.5887,68.06,0.6722,0.8261,0.5741,56.94,79.17,0.5547,0.7736
Sub 15,True,3,72,2505,0.8942,1.1000,84.27,0.8407,0.9445,0.7886,80.56,0.8042,0.9286,0.7407,72.22,88.89,0.7119,0.8849
Responsive Cohort (6 Subs),True,18,432,0,0.9104,1.1000,-,-,-,-,71.99,0.7165,0.8628,0.6265,67.82,76.16,0.6723,0.7572
Population (15 Subjects),False,45,1080,37575,0.9104,1.1000,63.75,0.6317,0.8235,0.5147,62.50,0.6220,0.8025,0.5000,59.63,65.37,0.5924,0.6506
