Subject_ID,Total_Trials,Total_Frames,Frame_Acc_Angular,Frame_F1_Angular,Trial_Acc_Angular,Trial_F1_Angular,Trial_Kappa_Angular,Trial_Acc_Probe,Trial_F1_Probe,Trial_Kappa_Probe
1,72,2505,67.11%,0.6652,68.06%,0.6786,0.5741,70.83%,0.7050,0.6111
2,72,2505,79.28%,0.7784,76.39%,0.7506,0.6852,75.00%,0.7403,0.6667
3,72,2505,66.23%,0.6550,63.89%,0.6313,0.5185,63.89%,0.6337,0.5185
4,72,2505,65.35%,0.6464,65.28%,0.6477,0.5370,66.67%,0.6673,0.5556
5,72,2505,55.81%,0.5405,54.17%,0.5407,0.3889,61.11%,0.6047,0.4815
6,72,2505,58.08%,0.5760,54.17%,0.5383,0.3889,56.94%,0.5634,0.4259
7,72,2505,69.10%,0.6765,68.06%,0.6735,0.5741,68.06%,0.6743,0.5741
8,72,2505,69.14%,0.6865,66.67%,0.6645,0.5556,68.06%,0.6796,0.5741
9,72,2505,60.72%,0.6011,58.33%,0.5803,0.4444,58.33%,0.5803,0.4444
10,72,2505,62.63%,0.6157,61.11%,0.6027,0.4815,52.78%,0.5190,0.3704
11,72,2505,54.77%,0.5340,55.56%,0.5464,0.4074,54.17%,0.5300,0.3889
12,72,2505,38.96%,0.3880,38.89%,0.3963,0.1852,38.89%,0.3853,0.1852
13,72,2505,57.96%,0.5835,56.94%,0.5666,0.4259,56.94%,0.5670,0.4259
14,72,2505,66.11%,0.6572,62.50%,0.6199,0.5000,62.50%,0.6226,0.5000
15,72,2505,85.67%,0.8526,83.33%,0.8316,0.7778,80.56%,0.8041,0.7407
POPULATION_MEAN,1080,37575,63.80%,0.6302,62.22%,0.6181,0.4963,62.31%,0.6191,0.4975
