Subject,Session,Trial_Accuracy,Frame_Accuracy,Trial_Macro_F1,Trial_ROC_AUC,Trial_Kappa
1,1,66.67,62.87,0.6577,0.8750,0.5556
1,2,66.67,71.63,0.6519,0.8866,0.5556
1,3,66.67,67.52,0.6536,0.8935,0.5556
2,1,70.83,75.09,0.6923,0.9745,0.6111
2,2,79.17,84.01,0.7677,0.8495,0.7222
2,3,75.00,76.16,0.7421,0.9167,0.6667
3,1,54.17,51.82,0.5159,0.7593,0.3889
3,2,70.83,75.24,0.7043,0.8912,0.6111
3,3,62.50,63.99,0.6119,0.8588,0.5000
4,1,70.83,70.04,0.7069,0.8657,0.6111
4,2,62.50,66.11,0.6285,0.8449,0.5000
4,3,62.50,65.09,0.6155,0.8426,0.5000
5,1,62.50,56.29,0.6217,0.8241,0.5000
5,2,62.50,66.59,0.6128,0.8241,0.5000
5,3,58.33,54.99,0.5833,0.7801,0.4444
6,1,41.67,47.12,0.4216,0.5949,0.2222
6,2,66.67,79.09,0.6458,0.8819,0.5556
6,3,62.50,63.26,0.6002,0.7986,0.5000
7,1,66.67,69.80,0.6542,0.8171,0.5556
7,2,70.83,72.96,0.7013,0.9352,0.6111
7,3,70.83,76.64,0.7037,0.9051,0.6111
8,1,75.00,72.27,0.7543,0.8519,0.6667
8,2,66.67,65.26,0.6596,0.8935,0.5556
8,3,70.83,70.44,0.7005,0.8750,0.6111
9,1,66.67,72.86,0.6513,0.8912,0.5556
9,2,62.50,67.91,0.6118,0.8333,0.5000
9,3,50.00,51.22,0.5019,0.7593,0.3333
10,1,41.67,48.53,0.4017,0.7801,0.2222
10,2,70.83,68.99,0.6999,0.8843,0.6111
10,3,50.00,51.82,0.4666,0.7083,0.3333
11,1,50.00,55.82,0.4345,0.8426,0.3333
11,2,50.00,49.88,0.4771,0.7130,0.3333
11,3,54.17,54.01,0.5286,0.6944,0.3889
12,1,45.83,41.25,0.4357,0.7269,0.2778
12,2,20.83,24.88,0.2203,0.5093,-0.0556
12,3,37.50,42.94,0.3530,0.5972,0.1667
13,1,62.50,58.05,0.6215,0.8819,0.5000
13,2,45.83,47.96,0.4442,0.7940,0.2778
13,3,54.17,52.80,0.5036,0.8403,0.3889
14,1,50.00,44.30,0.4910,0.7014,0.3333
14,2,58.33,58.17,0.5823,0.7801,0.4444
14,3,83.33,90.27,0.8279,0.9699,0.7778
15,1,75.00,78.85,0.7310,0.9120,0.6667
15,2,87.50,93.03,0.8731,0.9537,0.8333
15,3,83.33,85.04,0.8325,0.9468,0.7778
