Subject_ID,Total_Samples,Unbuf_MLP_Acc,Unbuf_MLP_F1,Unbuf_LGB_Acc,Unbuf_LGB_F1,Buf_MLP_Acc,Buf_MLP_F1,Buf_LGB_Acc,Buf_LGB_F1,MLP_Leakage_Collapse
1,2505,100.00%,1.0000,100.00%,1.0000,99.64%,0.9962,99.08%,0.9906,-0.36%
2,2505,100.00%,1.0000,100.00%,1.0000,99.36%,0.9933,99.16%,0.9914,-0.64%
3,2505,100.00%,1.0000,100.00%,1.0000,99.68%,0.9966,98.92%,0.9887,-0.32%
4,2505,100.00%,1.0000,100.00%,1.0000,99.60%,0.9958,99.36%,0.9933,-0.40%
5,2505,100.00%,1.0000,100.00%,1.0000,99.12%,0.9908,99.08%,0.9902,-0.88%
6,2505,100.00%,1.0000,100.00%,1.0000,99.28%,0.9926,99.16%,0.9912,-0.72%
7,2505,100.00%,1.0000,100.00%,1.0000,99.56%,0.9954,99.00%,0.9893,-0.44%
8,2505,100.00%,1.0000,100.00%,1.0000,99.64%,0.9961,99.56%,0.9954,-0.36%
9,2505,100.00%,1.0000,100.00%,1.0000,99.52%,0.9950,99.52%,0.9951,-0.48%
10,2505,100.00%,1.0000,100.00%,1.0000,98.88%,0.9882,98.72%,0.9871,-1.12%
11,2505,100.00%,1.0000,100.00%,1.0000,99.08%,0.9900,98.72%,0.9866,-0.92%
12,2505,100.00%,1.0000,100.00%,1.0000,99.52%,0.9949,98.60%,0.9854,-0.48%
13,2505,100.00%,1.0000,100.00%,1.0000,99.68%,0.9966,99.40%,0.9936,-0.32%
14,2505,100.00%,1.0000,100.00%,1.0000,99.56%,0.9954,99.48%,0.9944,-0.44%
15,2505,100.00%,1.0000,100.00%,1.0000,99.72%,0.9971,98.72%,0.9867,-0.28%
POPULATION_MEAN,37575,100.00%,1.0000,100.00%,1.0000,99.46%,0.9943,99.10%,0.9906,-0.54%
