subject_id,sessions_evaluated,num_trials,num_frames,mean_gamma,frame_accuracy,frame_f1,frame_auc,frame_kappa,trial_accuracy,trial_f1,trial_auc,trial_kappa,trial_acc_ci_low,trial_acc_ci_high,trial_f1_ci_low,trial_f1_ci_high
Sub 01,3,72,2505,0.9039,71.74,0.7155,0.8798,0.6219,72.22,0.7220,0.8827,0.6296,61.11,83.33,0.6066,0.8213
Sub 02,3,72,2505,0.9019,80.80,0.7948,0.9226,0.7424,79.17,0.7835,0.9252,0.7222,69.44,87.50,0.6826,0.8667
Sub 03,3,72,2505,0.9294,67.27,0.6710,0.8651,0.5635,65.28,0.6503,0.8452,0.5370,54.17,76.39,0.5318,0.7547
Sub 04,3,72,2505,0.8751,62.44,0.6197,0.8281,0.4970,63.89,0.6378,0.8323,0.5185,52.78,75.00,0.5208,0.7489
Sub 05,3,72,2505,0.9117,58.76,0.5691,0.8188,0.4468,56.94,0.5655,0.8246,0.4259,45.83,68.06,0.4509,0.6698
Sub 06,3,72,2505,0.9106,57.88,0.5728,0.7679,0.4364,54.17,0.5341,0.7639,0.3889,43.06,65.28,0.4193,0.6410
Sub 07,3,72,2505,0.9190,73.85,0.7285,0.8847,0.6508,70.83,0.7021,0.8848,0.6111,59.72,81.94,0.5824,0.8022
Sub 08,3,72,2505,0.8532,70.82,0.6953,0.8411,0.6091,69.44,0.6873,0.8562,0.5926,58.33,80.56,0.5657,0.7919
Sub 09,3,72,2505,0.9318,62.67,0.6195,0.8496,0.5011,59.72,0.5909,0.8413,0.4630,47.22,70.83,0.4619,0.6977
Sub 10,3,72,2505,0.9715,56.05,0.5481,0.7750,0.4117,54.17,0.5344,0.7917,0.3889,43.02,65.28,0.4140,0.6371
Sub 11,3,72,2505,0.9031,53.97,0.5272,0.7165,0.3818,54.17,0.5349,0.7487,0.3889,41.67,65.28,0.4204,0.6363
Sub 12,3,72,2505,0.9370,34.97,0.3415,0.6040,0.1319,36.11,0.3604,0.6337,0.1481,25.00,45.87,0.2719,0.4465
Sub 13,3,72,2505,0.8527,51.38,0.5168,0.7647,0.3517,52.78,0.5239,0.7708,0.3704,40.28,65.28,0.3965,0.6441
Sub 14,3,72,2505,0.9615,69.34,0.6870,0.8291,0.5887,68.06,0.6722,0.8302,0.5741,56.94,79.17,0.5547,0.7736
Sub 15,3,72,2505,0.8942,84.27,0.8407,0.9435,0.7886,80.56,0.8042,0.9506,0.7407,72.22,88.89,0.7119,0.8849
Population (15 Subjects),45,1080,37575,0.9104,63.75,0.6317,0.8231,0.5147,62.50,0.6220,0.8299,0.5000,59.63,65.37,0.5924,0.6506
