Subject,Session,Frames,Frame_Acc,Trial_Acc,Trial_F1,Trial_AUC,Trial_Kappa,Mean_Gamma
Subject_01,1,851,0.6169,0.6250,0.6050,0.8218,0.5000,0.9995
Subject_01,2,832,0.7692,0.7083,0.7107,0.8785,0.6111,0.9007
Subject_01,3,822,0.7384,0.7500,0.7529,0.8565,0.6667,0.7528
Subject_02,1,851,0.8273,0.7917,0.7952,0.9444,0.7222,0.9800
Subject_02,2,832,0.8401,0.7917,0.7677,0.9317,0.7222,0.8588
Subject_02,3,822,0.7141,0.7500,0.7393,0.8808,0.6667,0.9289
Subject_03,1,851,0.5875,0.5833,0.5712,0.7407,0.4444,0.9766
Subject_03,2,832,0.8438,0.7500,0.7408,0.9271,0.6667,0.8585
Subject_03,3,822,0.6180,0.5833,0.5776,0.8067,0.4444,0.9987
Subject_04,1,851,0.6921,0.7083,0.6897,0.8252,0.6111,0.9542
Subject_04,2,832,0.4988,0.5000,0.5012,0.7280,0.3333,0.6515
Subject_04,3,822,0.6509,0.6250,0.6136,0.8125,0.5000,0.9520
Subject_05,1,851,0.6146,0.6667,0.6600,0.7535,0.5556,0.8418
Subject_05,2,832,0.6671,0.5833,0.5715,0.8669,0.4444,0.9870
Subject_05,3,822,0.6375,0.6250,0.6267,0.8356,0.5000,0.7931
Subject_06,1,851,0.4524,0.4583,0.4583,0.6192,0.2778,0.8584
Subject_06,2,832,0.6358,0.6250,0.5590,0.8669,0.5000,0.9272
Subject_06,3,822,0.6253,0.5833,0.5833,0.7917,0.4444,0.8419
Subject_07,1,851,0.7333,0.6667,0.6530,0.8403,0.5556,0.9070
Subject_07,2,832,0.7776,0.7500,0.7402,0.9294,0.6667,0.8435
Subject_07,3,822,0.7543,0.7083,0.7005,0.8843,0.6111,0.9993
Subject_08,1,851,0.7274,0.7083,0.7152,0.8646,0.6111,0.7916
Subject_08,2,832,0.5721,0.5417,0.5388,0.8333,0.3889,0.9877
Subject_08,3,822,0.7311,0.7083,0.7005,0.8681,0.6111,0.7281
Subject_09,1,851,0.6416,0.5833,0.5596,0.8495,0.4444,0.9986
Subject_09,2,832,0.6599,0.5833,0.5742,0.7836,0.4444,0.8171
Subject_09,3,822,0.4927,0.4583,0.4538,0.6817,0.2778,0.7932
Subject_10,1,851,0.5041,0.4583,0.4443,0.6956,0.2778,0.8532
Subject_10,2,832,0.6851,0.7083,0.6884,0.8681,0.6111,0.8653
Subject_10,3,822,0.4465,0.4583,0.4318,0.6944,0.2778,0.8043
Subject_11,1,851,0.5687,0.5417,0.5130,0.7975,0.3889,0.8379
Subject_11,2,832,0.4928,0.5000,0.4980,0.6979,0.3333,0.8654
Subject_11,3,822,0.4294,0.4583,0.4531,0.6493,0.2778,0.9568
Subject_12,1,851,0.4548,0.4583,0.4437,0.6725,0.2778,0.7942
Subject_12,2,832,0.2849,0.2083,0.2024,0.5370,-0.0556,0.9366
Subject_12,3,822,0.3066,0.2500,0.2583,0.5116,0.0000,0.8609
Subject_13,1,851,0.5817,0.5833,0.5860,0.7593,0.4444,0.9505
Subject_13,2,832,0.4483,0.4583,0.4442,0.6343,0.2778,0.8817
Subject_13,3,822,0.5973,0.5417,0.5188,0.8102,0.3889,0.7948
Subject_14,1,851,0.4771,0.5000,0.4821,0.6389,0.3333,0.8910
Subject_14,2,832,0.7103,0.6667,0.6519,0.8287,0.5556,0.9870
Subject_14,3,822,0.8881,0.8333,0.8322,0.9606,0.7778,0.9993
Subject_15,1,851,0.7779,0.7500,0.7310,0.8669,0.6667,0.9419
Subject_15,2,832,0.9303,0.8750,0.8731,0.9803,0.8333,0.9546
Subject_15,3,822,0.8358,0.8333,0.8325,0.9468,0.7778,0.9992
