Subject,Session,Frames,Frame_Acc,Trial_Acc,Trial_F1,Trial_AUC,Trial_Kappa,Mean_Gamma
Subject_01,1,851,0.6193,0.6250,0.6259,0.7558,0.5000,0.9158
Subject_01,2,832,0.6971,0.6250,0.6170,0.8553,0.5000,0.8963
Subject_01,3,822,0.7068,0.6667,0.6620,0.8530,0.5556,0.8319
Subject_02,1,851,0.8085,0.7500,0.7568,0.9606,0.6667,0.9895
Subject_02,2,832,0.8173,0.7500,0.7260,0.8947,0.6667,0.8168
Subject_02,3,822,0.7409,0.7083,0.7043,0.8553,0.6111,0.9990
Subject_03,1,851,0.4994,0.5000,0.5000,0.6736,0.3333,0.9764
Subject_03,2,832,0.7716,0.7083,0.6930,0.9097,0.6111,0.9694
Subject_03,3,822,0.6460,0.6250,0.6119,0.7755,0.5000,0.9327
Subject_04,1,851,0.7180,0.7083,0.6952,0.8229,0.6111,0.8992
Subject_04,2,832,0.4471,0.4583,0.4571,0.6169,0.2778,0.9638
Subject_04,3,822,0.6509,0.6250,0.6136,0.7882,0.5000,0.9208
Subject_05,1,851,0.6334,0.6250,0.6262,0.7905,0.5000,0.8516
Subject_05,2,832,0.6635,0.6250,0.6142,0.8194,0.5000,0.8126
Subject_05,3,822,0.6071,0.6667,0.6600,0.8044,0.5556,0.9531
Subject_06,1,851,0.4465,0.4167,0.4216,0.6169,0.2222,0.7978
Subject_06,2,832,0.6635,0.6667,0.6423,0.8669,0.5556,0.9995
Subject_06,3,822,0.6022,0.5833,0.5618,0.7523,0.4444,0.8672
Subject_07,1,851,0.6604,0.5833,0.5600,0.8403,0.4444,0.8442
Subject_07,2,832,0.7428,0.7500,0.7384,0.9097,0.6667,0.9582
Subject_07,3,822,0.7384,0.7083,0.7037,0.8322,0.6111,0.9106
Subject_08,1,851,0.6639,0.6667,0.6694,0.8090,0.5556,0.8285
Subject_08,2,832,0.6178,0.5833,0.5714,0.7882,0.4444,0.9433
Subject_08,3,822,0.6460,0.5833,0.5786,0.7905,0.4444,0.7035
Subject_09,1,851,0.6675,0.6250,0.6077,0.7859,0.5000,0.8795
Subject_09,2,832,0.6454,0.5833,0.5742,0.7674,0.4444,0.7055
Subject_09,3,822,0.4927,0.4583,0.4500,0.6667,0.2778,0.9992
Subject_10,1,851,0.4677,0.4583,0.4443,0.6111,0.2778,0.8955
Subject_10,2,832,0.6947,0.6667,0.6573,0.8773,0.5556,0.8849
Subject_10,3,822,0.4805,0.5417,0.4904,0.7060,0.3889,0.8906
Subject_11,1,851,0.5170,0.4583,0.4231,0.7060,0.2778,0.8667
Subject_11,2,832,0.4904,0.5000,0.4687,0.6910,0.3333,0.8646
Subject_11,3,822,0.4258,0.4583,0.4369,0.6435,0.2778,0.8448
Subject_12,1,851,0.4677,0.5000,0.4735,0.6667,0.3333,0.7182
Subject_12,2,832,0.2788,0.2083,0.2024,0.5069,-0.0556,0.9608
Subject_12,3,822,0.3078,0.2500,0.2583,0.5069,0.0000,0.8688
Subject_13,1,851,0.5770,0.5833,0.5860,0.7002,0.4444,0.9826
Subject_13,2,832,0.3822,0.4167,0.4140,0.6123,0.2222,0.9253
Subject_13,3,822,0.6338,0.6250,0.6273,0.7801,0.5000,0.7810
Subject_14,1,851,0.4395,0.5417,0.5226,0.6377,0.3889,0.7403
Subject_14,2,832,0.6599,0.6250,0.6129,0.8310,0.5000,0.8348
Subject_14,3,822,0.8783,0.8333,0.8322,0.9583,0.7778,0.9516
Subject_15,1,851,0.7885,0.7500,0.7310,0.9039,0.6667,0.9072
Subject_15,2,832,0.9471,0.8750,0.8731,0.9954,0.8333,0.9712
Subject_15,3,822,0.8200,0.7917,0.7814,0.9144,0.7222,0.9919
