Subject,Session,Trial_Accuracy,Frame_Accuracy,Trial_Macro_F1,Trial_ROC_AUC,Trial_Kappa
1,1,75.00,71.21,0.7292,0.8542,0.6667
1,2,66.67,71.39,0.6728,0.8310,0.5556
1,3,79.17,79.20,0.7912,0.8750,0.7222
2,1,79.17,85.43,0.7862,0.9259,0.7222
2,2,79.17,85.34,0.7645,0.9236,0.7222
2,3,79.17,78.22,0.7846,0.9375,0.7222
3,1,50.00,47.24,0.4826,0.7778,0.3333
3,2,66.67,71.51,0.6715,0.8773,0.5556
3,3,70.83,72.75,0.7005,0.8542,0.6111
4,1,70.83,71.80,0.7013,0.9306,0.6111
4,2,87.50,92.19,0.8776,0.9769,0.8333
4,3,83.33,81.14,0.8231,0.9722,0.7778
5,1,70.83,67.69,0.7069,0.8333,0.6111
5,2,58.33,65.99,0.5680,0.8009,0.4444
5,3,62.50,66.42,0.6076,0.8102,0.5000
6,1,33.33,39.01,0.3357,0.6134,0.1111
6,2,83.33,82.45,0.8362,0.9282,0.7778
6,3,70.83,71.05,0.7080,0.9213,0.6111
7,1,83.33,83.20,0.8339,0.9306,0.7778
7,2,83.33,86.78,0.8310,0.9537,0.7778
7,3,87.50,91.73,0.8617,1.0000,0.8333
8,1,66.67,68.74,0.6658,0.8773,0.5556
8,2,75.00,79.69,0.7397,0.9491,0.6667
8,3,70.83,75.67,0.7072,0.9074,0.6111
9,1,83.33,86.49,0.8293,0.9190,0.7778
9,2,62.50,69.95,0.6188,0.8125,0.5000
9,3,45.83,44.89,0.4512,0.6644,0.2778
10,1,45.83,38.07,0.4158,0.7199,0.2778
10,2,75.00,74.52,0.7491,0.8565,0.6667
10,3,62.50,69.10,0.6160,0.8056,0.5000
11,1,66.67,68.04,0.6658,0.7963,0.5556
11,2,45.83,42.07,0.4632,0.7708,0.2778
11,3,66.67,62.77,0.6596,0.7894,0.5556
12,1,58.33,59.22,0.5922,0.8472,0.4444
12,2,37.50,42.79,0.3628,0.6181,0.1667
12,3,66.67,69.71,0.6421,0.7894,0.5556
13,1,66.67,64.86,0.6513,0.8125,0.5556
13,2,62.50,64.06,0.6179,0.8171,0.5000
13,3,58.33,55.60,0.5813,0.7986,0.4444
14,1,62.50,58.99,0.5945,0.7546,0.5000
14,2,75.00,73.92,0.7597,0.8819,0.6667
14,3,87.50,93.19,0.8747,0.9884,0.8333
15,1,66.67,72.39,0.6614,0.8796,0.5556
15,2,95.83,98.56,0.9580,0.9977,0.9444
15,3,79.17,78.59,0.7946,0.9259,0.7222
