Ablation_ID,Configuration,Protocol,w_dom,Schedule,Accuracy,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_Precision,Macro_Precision_95CI_Lower,Macro_Precision_95CI_Upper,Macro_Recall,Macro_Recall_95CI_Lower,Macro_Recall_95CI_Upper,Macro_F1,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper
baseline_reference,Full DANN (Baseline),cross-subject,1.0,Ganin Dynamic,0.3726,0.3678,0.3772,0.3694,0.3645,0.3740,0.3675,0.3628,0.3720,0.3665,0.3616,0.3710,0.6235,0.6198,0.6273,0.1587,0.1525,0.1647
baseline_reference,Full DANN (Baseline),subject-dependent,1.0,Ganin Dynamic,0.6514,0.6468,0.6560,0.6496,0.6450,0.6541,0.6508,0.6462,0.6552,0.6501,0.6456,0.6546,0.8629,0.8602,0.8655,0.5339,0.5278,0.5401
ablation_no_domain,No Domain Adv (w_dom=0),cross-subject,0.0,Ganin Dynamic,0.3801,0.3752,0.3848,0.3784,0.3732,0.3830,0.3792,0.3743,0.3838,0.3764,0.3714,0.3810,0.6270,0.6233,0.6308,0.1719,0.1653,0.1781
ablation_no_domain,No Domain Adv (w_dom=0),subject-dependent,0.0,Ganin Dynamic,0.6459,0.6413,0.6504,0.6439,0.6394,0.6485,0.6444,0.6399,0.6490,0.6441,0.6396,0.6487,0.8569,0.8541,0.8596,0.5263,0.5202,0.5324
ablation_fixed_lambda,Fixed Lambda (lambda=1.0),cross-subject,1.0,Fixed 1.0,0.3700,0.3655,0.3748,0.3744,0.3696,0.3793,0.3681,0.3636,0.3728,0.3678,0.3631,0.3725,0.6125,0.6087,0.6163,0.1578,0.1517,0.1640
ablation_fixed_lambda,Fixed Lambda (lambda=1.0),subject-dependent,1.0,Fixed 1.0,0.6738,0.6691,0.6783,0.6726,0.6680,0.6769,0.6736,0.6688,0.6779,0.6729,0.6682,0.6772,0.8676,0.8647,0.8702,0.5640,0.5578,0.5701
ablation_reduced_w_dom_0.1,Reduced Weight (w_dom=0.1),cross-subject,0.1,Ganin Dynamic,0.3841,0.3793,0.3889,0.3828,0.3778,0.3877,0.3833,0.3785,0.3883,0.3825,0.3776,0.3874,0.6235,0.6197,0.6271,0.1765,0.1701,0.1830
ablation_reduced_w_dom_0.1,Reduced Weight (w_dom=0.1),subject-dependent,0.1,Ganin Dynamic,0.6632,0.6584,0.6678,0.6618,0.6569,0.6665,0.6614,0.6566,0.6661,0.6616,0.6567,0.6663,0.8483,0.8455,0.8514,0.5495,0.5430,0.5556
ablation_moderate_w_dom_0.5,Moderate Weight (w_dom=0.5),cross-subject,0.5,Ganin Dynamic,0.3767,0.3721,0.3811,0.3788,0.3740,0.3832,0.3756,0.3710,0.3801,0.3764,0.3717,0.3807,0.6368,0.6330,0.6404,0.1663,0.1600,0.1722
ablation_moderate_w_dom_0.5,Moderate Weight (w_dom=0.5),subject-dependent,0.5,Ganin Dynamic,0.6533,0.6485,0.6580,0.6507,0.6461,0.6553,0.6523,0.6477,0.6570,0.6512,0.6466,0.6559,0.8503,0.8476,0.8531,0.5367,0.5303,0.5428
