Protocol,Corruption_Type,Corruption_Level,Model,Mean_Accuracy,Std_Accuracy,Mean_Macro_F1,Std_Macro_F1,Retention_Pct,Degradation_Pct
cross_subject,channel_dropout,k=0,Calibrated DANN,0.3841,0.0000,0.3825,0.0000,100.00%,0.00%
cross_subject,channel_dropout,k=0,LightGBM,0.3592,0.0000,0.3553,0.0000,100.00%,0.00%
cross_subject,channel_dropout,k=3,Calibrated DANN,0.3747,0.0113,0.3724,0.0115,97.56%,0.94%
cross_subject,channel_dropout,k=3,LightGBM,0.3562,0.0083,0.3505,0.0100,99.15%,0.30%
cross_subject,channel_dropout,k=6,Calibrated DANN,0.3765,0.0130,0.3749,0.0128,98.03%,0.76%
cross_subject,channel_dropout,k=6,LightGBM,0.3518,0.0105,0.3463,0.0127,97.94%,0.74%
cross_subject,channel_dropout,k=9,Calibrated DANN,0.3715,0.0143,0.3683,0.0152,96.70%,1.27%
cross_subject,channel_dropout,k=9,LightGBM,0.3501,0.0124,0.3430,0.0160,97.46%,0.91%
cross_subject,channel_dropout,k=12,Calibrated DANN,0.3656,0.0161,0.3612,0.0167,95.18%,1.85%
cross_subject,channel_dropout,k=12,LightGBM,0.3507,0.0127,0.3450,0.0145,97.63%,0.85%
cross_subject,channel_dropout,k=15,Calibrated DANN,0.3603,0.0170,0.3560,0.0193,93.80%,2.38%
cross_subject,channel_dropout,k=15,LightGBM,0.3437,0.0189,0.3372,0.0220,95.69%,1.55%
cross_subject,gaussian_noise,sigma=0.00,Calibrated DANN,0.3841,0.0000,0.3825,0.0000,100.00%,0.00%
cross_subject,gaussian_noise,sigma=0.00,LightGBM,0.3592,0.0000,0.3553,0.0000,100.00%,0.00%
cross_subject,gaussian_noise,sigma=0.10,Calibrated DANN,0.3811,0.0006,0.3796,0.0006,99.20%,0.31%
cross_subject,gaussian_noise,sigma=0.10,LightGBM,0.3531,0.0013,0.3473,0.0013,98.29%,0.61%
cross_subject,gaussian_noise,sigma=0.25,Calibrated DANN,0.3781,0.0011,0.3766,0.0011,98.44%,0.60%
cross_subject,gaussian_noise,sigma=0.25,LightGBM,0.3429,0.0012,0.3350,0.0011,95.47%,1.63%
cross_subject,gaussian_noise,sigma=0.50,Calibrated DANN,0.3654,0.0014,0.3641,0.0014,95.12%,1.87%
cross_subject,gaussian_noise,sigma=0.50,LightGBM,0.3225,0.0018,0.3115,0.0019,89.78%,3.67%
cross_subject,gaussian_noise,sigma=1.00,Calibrated DANN,0.3372,0.0019,0.3363,0.0019,87.80%,4.69%
cross_subject,gaussian_noise,sigma=1.00,LightGBM,0.2881,0.0020,0.2750,0.0021,80.20%,7.11%
subject_dependent,channel_dropout,k=0,Calibrated DANN,0.6594,0.0000,0.6578,0.0000,100.00%,0.00%
subject_dependent,channel_dropout,k=0,LightGBM,0.6005,0.0000,0.5979,0.0000,100.00%,0.00%
subject_dependent,channel_dropout,k=3,Calibrated DANN,0.6129,0.0234,0.6112,0.0237,92.96%,4.64%
subject_dependent,channel_dropout,k=3,LightGBM,0.5881,0.0111,0.5855,0.0123,97.92%,1.25%
subject_dependent,channel_dropout,k=6,Calibrated DANN,0.5811,0.0277,0.5804,0.0268,88.13%,7.82%
subject_dependent,channel_dropout,k=6,LightGBM,0.5850,0.0083,0.5827,0.0085,97.41%,1.55%
subject_dependent,channel_dropout,k=9,Calibrated DANN,0.5446,0.0221,0.5432,0.0227,82.59%,11.48%
subject_dependent,channel_dropout,k=9,LightGBM,0.5726,0.0150,0.5687,0.0182,95.35%,2.80%
subject_dependent,channel_dropout,k=12,Calibrated DANN,0.5300,0.0254,0.5281,0.0258,80.38%,12.94%
subject_dependent,channel_dropout,k=12,LightGBM,0.5641,0.0114,0.5607,0.0132,93.93%,3.65%
subject_dependent,channel_dropout,k=15,Calibrated DANN,0.4949,0.0396,0.4940,0.0395,75.05%,16.45%
subject_dependent,channel_dropout,k=15,LightGBM,0.5477,0.0274,0.5417,0.0330,91.19%,5.29%
subject_dependent,gaussian_noise,sigma=0.00,Calibrated DANN,0.6594,0.0000,0.6578,0.0000,100.00%,0.00%
subject_dependent,gaussian_noise,sigma=0.00,LightGBM,0.6005,0.0000,0.5979,0.0000,100.00%,0.00%
subject_dependent,gaussian_noise,sigma=0.10,Calibrated DANN,0.6503,0.0016,0.6485,0.0016,98.63%,0.91%
subject_dependent,gaussian_noise,sigma=0.10,LightGBM,0.5770,0.0012,0.5757,0.0012,96.09%,2.35%
subject_dependent,gaussian_noise,sigma=0.25,Calibrated DANN,0.5929,0.0017,0.5917,0.0017,89.92%,6.64%
subject_dependent,gaussian_noise,sigma=0.25,LightGBM,0.5076,0.0019,0.5072,0.0019,84.52%,9.30%
subject_dependent,gaussian_noise,sigma=0.50,Calibrated DANN,0.4895,0.0020,0.4894,0.0021,74.24%,16.99%
subject_dependent,gaussian_noise,sigma=0.50,LightGBM,0.4004,0.0021,0.3940,0.0022,66.67%,20.02%
subject_dependent,gaussian_noise,sigma=1.00,Calibrated DANN,0.3798,0.0026,0.3797,0.0026,57.60%,27.96%
subject_dependent,gaussian_noise,sigma=1.00,LightGBM,0.3082,0.0022,0.2941,0.0023,51.31%,29.24%
