Subject_ID,Protocol,Sample_Count,Accuracy,Macro_F1,Mean_Confidence,Total_Entropy,Aleatoric_Uncertainty,Epistemic_Uncertainty,Epistemic_Aleatoric_Ratio,Primary_Driver
1,cross_subject,2505,0.2774,0.1192,0.9615,0.2097,0.1460,0.0637,0.4366,Data Limitation (High Aleatoric)
2,cross_subject,2505,0.3876,0.3727,0.9009,0.4001,0.2501,0.1500,0.5998,High Performing / Robust
3,cross_subject,2505,0.3409,0.2202,0.9201,0.2884,0.2045,0.0839,0.4102,Data Limitation (High Aleatoric)
4,cross_subject,2505,0.5968,0.5136,0.9412,0.3657,0.1694,0.1963,1.1589,High Performing / Robust
5,cross_subject,2505,0.3429,0.2833,0.9557,0.3037,0.1303,0.1734,1.3311,Model Limitation (High Epistemic)
6,cross_subject,2505,0.2607,0.1262,0.9850,0.1757,0.0595,0.1162,1.9543,Data Limitation (High Aleatoric)
7,cross_subject,2505,0.4287,0.4132,0.9109,0.3469,0.2779,0.0690,0.2484,High Performing / Robust
8,cross_subject,2505,0.4279,0.3559,0.8650,0.5716,0.4205,0.1511,0.3593,High Performing / Robust
9,cross_subject,2505,0.2942,0.2792,0.8594,0.5435,0.3545,0.1890,0.5332,Model Limitation (High Epistemic)
10,cross_subject,2505,0.4359,0.3525,0.9046,0.4269,0.3141,0.1128,0.3591,High Performing / Robust
11,cross_subject,2505,0.3916,0.2581,0.8693,0.5534,0.3819,0.1715,0.4490,High Performing / Robust
12,cross_subject,2505,0.3677,0.3444,0.7254,0.8383,0.6924,0.1459,0.2107,Model Limitation (High Epistemic)
13,cross_subject,2505,0.2958,0.2422,0.9605,0.2630,0.1307,0.1323,1.0120,Data Limitation (High Aleatoric)
14,cross_subject,2505,0.3784,0.2576,0.9177,0.2554,0.1539,0.1015,0.6593,Data Limitation (High Aleatoric)
15,cross_subject,2505,0.5349,0.5303,0.9386,0.3510,0.1591,0.1919,1.2064,High Performing / Robust
1,subject_dependent,2505,0.6160,0.6110,0.9026,0.3944,0.2389,0.1554,0.6506,Model Limitation (High Epistemic)
2,subject_dependent,2505,0.6415,0.6410,0.9116,0.3619,0.2004,0.1615,0.8056,Model Limitation (High Epistemic)
3,subject_dependent,2505,0.6279,0.6238,0.8261,0.5856,0.3975,0.1881,0.4733,Model Limitation (High Epistemic)
4,subject_dependent,2505,0.8024,0.8020,0.9724,0.2629,0.1368,0.1260,0.9212,High Performing / Robust
5,subject_dependent,2505,0.5685,0.5643,0.9076,0.3821,0.2226,0.1595,0.7164,Model Limitation (High Epistemic)
6,subject_dependent,2505,0.6156,0.6199,0.8937,0.4199,0.2383,0.1817,0.7624,Model Limitation (High Epistemic)
7,subject_dependent,2505,0.7605,0.7638,0.9406,0.2619,0.1530,0.1089,0.7118,High Performing / Robust
8,subject_dependent,2505,0.6822,0.6765,0.9025,0.3861,0.2299,0.1563,0.6798,High Performing / Robust
9,subject_dependent,2505,0.7609,0.7535,0.8679,0.4631,0.3065,0.1566,0.5109,High Performing / Robust
10,subject_dependent,2505,0.6128,0.6022,0.9162,0.3909,0.2372,0.1537,0.6482,Data Limitation (High Aleatoric)
11,subject_dependent,2505,0.5725,0.5696,0.8772,0.5003,0.3417,0.1587,0.4644,Model Limitation (High Epistemic)
12,subject_dependent,2505,0.5281,0.5263,0.9287,0.4213,0.2420,0.1792,0.7405,Model Limitation (High Epistemic)
13,subject_dependent,2505,0.6587,0.6580,0.9051,0.4294,0.2477,0.1817,0.7337,Model Limitation (High Epistemic)
14,subject_dependent,2505,0.6375,0.6383,0.9456,0.2965,0.1744,0.1221,0.7004,Data Limitation (High Aleatoric)
15,subject_dependent,2505,0.8056,0.8060,0.9532,0.2469,0.1300,0.1169,0.8994,High Performing / Robust
