Subject_ID,Total_Trials,Total_Frames,Frame_Acc_Angular,Frame_F1_Angular,Trial_Acc_Angular,Trial_F1_Angular,Trial_Kappa_Angular,Trial_Acc_Probe,Trial_F1_Probe,Trial_Kappa_Probe
1,72,1476,32.11%,0.3173,34.72%,0.3483,0.1296,33.33%,0.3338,0.1111
2,72,1476,32.38%,0.2989,30.56%,0.2841,0.0741,27.78%,0.2426,0.0370
3,72,1476,22.49%,0.2235,23.61%,0.2371,-0.0185,23.61%,0.2366,-0.0185
4,72,1476,42.01%,0.4180,40.28%,0.4039,0.2037,38.89%,0.3892,0.1852
5,72,1476,36.92%,0.3649,36.11%,0.3571,0.1481,33.33%,0.3327,0.1111
6,72,1476,38.48%,0.3703,40.28%,0.3881,0.2037,41.67%,0.4008,0.2222
7,72,1476,36.86%,0.3580,40.28%,0.3936,0.2037,34.72%,0.3311,0.1296
8,72,1476,29.47%,0.2929,25.00%,0.2506,0.0000,27.78%,0.2755,0.0370
9,72,1476,27.71%,0.2790,29.17%,0.2912,0.0556,30.56%,0.3048,0.0741
10,72,1476,31.50%,0.3129,27.78%,0.2835,0.0370,27.78%,0.2881,0.0370
11,72,1476,20.87%,0.2022,22.22%,0.2136,-0.0370,20.83%,0.2025,-0.0556
12,72,1476,26.15%,0.2566,25.00%,0.2512,0.0000,26.39%,0.2663,0.0185
13,72,1476,28.73%,0.2864,29.17%,0.2905,0.0556,30.56%,0.3010,0.0741
14,72,1476,31.78%,0.3105,30.56%,0.3018,0.0741,37.50%,0.3739,0.1667
15,72,1476,38.75%,0.3832,43.06%,0.4305,0.2407,40.28%,0.4018,0.2037
POPULATION_MEAN,1080,22140,31.75%,0.3141,31.85%,0.3175,0.0914,31.67%,0.3149,0.0889
