Subject,Session,Frame_Accuracy,Trial_Dirichlet_Consensus_Accuracy
1,1,0.6138,0.6250
1,2,0.5914,0.5833
1,3,0.6468,0.6250
2,1,0.7878,0.7500
2,2,0.7996,0.7500
2,3,0.7619,0.7500
3,1,0.5583,0.5833
3,2,0.7033,0.7083
3,3,0.6905,0.6667
4,1,0.6864,0.7083
4,2,0.5580,0.5833
4,3,0.6210,0.5833
5,1,0.6119,0.6250
5,2,0.6405,0.5833
5,3,0.5357,0.5833
6,1,0.4283,0.3750
6,2,0.7682,0.6667
6,3,0.6290,0.5417
7,1,0.6252,0.6250
7,2,0.7583,0.7917
7,3,0.7857,0.7500
8,1,0.6348,0.6250
8,2,0.6031,0.6250
8,3,0.7163,0.7083
9,1,0.6004,0.5833
9,2,0.6110,0.5417
9,3,0.4901,0.4583
10,1,0.4493,0.4167
10,2,0.7701,0.7500
10,3,0.5060,0.4583
11,1,0.6042,0.5833
11,2,0.4519,0.5000
11,3,0.4563,0.4583
12,1,0.5985,0.6250
12,2,0.2967,0.2917
12,3,0.2440,0.2500
13,1,0.5602,0.5833
13,2,0.4735,0.5000
13,3,0.5853,0.5833
14,1,0.5621,0.6250
14,2,0.6424,0.6250
14,3,0.8869,0.8333
15,1,0.6711,0.6667
15,2,0.9293,0.8750
15,3,0.8532,0.8333

POOLED_SUMMARY,Total_Trials,Sample_Accuracy,Trial_Consensus_Accuracy,Trial_Macro_F1,Trial_Cohen_Kappa
POOLED,1080,0.6220,0.6102,0.6074,0.4802
