Model,K_Trials,Calibration_Duration_Sec,Calibration_Duration_Min,Accuracy_Mean,Accuracy_Std,Accuracy_95CI_Lower,Accuracy_95CI_Upper,Macro_F1_Mean,Macro_F1_Std,Macro_F1_95CI_Lower,Macro_F1_95CI_Upper,Macro_AUC_Mean,Macro_AUC_Std,Macro_AUC_95CI_Lower,Macro_AUC_95CI_Upper,Cohen_Kappa_Mean,Cohen_Kappa_Std,Cohen_Kappa_95CI_Lower,Cohen_Kappa_95CI_Upper,Gap_Closure_Pct
Calibrated Inductive DANN,0,0.0,0.00,0.3841,0.0000,0.3795,0.3892,0.3825,0.0000,0.3779,0.3874,0.6235,0.0000,0.6202,0.6275,0.1765,0.0000,0.1704,0.1833,0.00
Calibrated Inductive DANN,1,139.2,2.32,0.3806,0.0137,0.3838,0.3932,0.3773,0.0143,0.3828,0.3921,0.6238,0.0039,0.6198,0.6278,0.1718,0.0203,0.1781,0.1905,-1.29
Calibrated Inductive DANN,2,278.4,4.64,0.3588,0.0139,0.3540,0.3637,0.3552,0.0125,0.3514,0.3612,0.6218,0.0077,0.6222,0.6297,0.1434,0.0170,0.1369,0.1501,-9.34
Calibrated Inductive DANN,4,556.8,9.28,0.3813,0.0061,0.3846,0.3947,0.3784,0.0062,0.3830,0.3933,0.6417,0.0047,0.6447,0.6523,0.1729,0.0089,0.1786,0.1921,-1.03
Calibrated Inductive DANN,8,1113.6,18.56,0.4517,0.0162,0.4437,0.4541,0.4490,0.0153,0.4426,0.4528,0.6935,0.0149,0.6746,0.6826,0.2681,0.0215,0.2586,0.2722,24.94
LightGBM,0,0.0,0.00,0.3837,0.0000,0.3792,0.3888,0.3844,0.0000,0.3797,0.3894,0.6267,0.0000,0.6229,0.6306,0.1790,0.0000,0.1730,0.1857,0.00
LightGBM,1,139.2,2.32,0.3810,0.0064,0.3645,0.3743,0.3802,0.0075,0.3626,0.3724,0.6264,0.0019,0.6212,0.6289,0.1753,0.0079,0.1550,0.1678,-1.19
LightGBM,2,278.4,4.64,0.3727,0.0073,0.3680,0.3775,0.3715,0.0074,0.3644,0.3739,0.6210,0.0054,0.6122,0.6198,0.1637,0.0098,0.1603,0.1726,-4.83
LightGBM,4,556.8,9.28,0.3706,0.0137,0.3632,0.3736,0.3710,0.0138,0.3626,0.3728,0.6261,0.0059,0.6161,0.6237,0.1608,0.0181,0.1542,0.1672,-5.74
LightGBM,8,1113.6,18.56,0.3937,0.0043,0.3832,0.3937,0.3934,0.0046,0.3828,0.3932,0.6444,0.0052,0.6477,0.6555,0.1918,0.0057,0.1796,0.1934,4.36
