Subject,Cohort,Internal_Train_CV_Acc,Frame_Accuracy,Trial_Consensus_Accuracy,Trial_Macro_F1,Trial_Cohen_Kappa
1,Non-Responsive,0.4226,0.6096,0.6111,0.5997,0.4815
2,Responsive,0.5807,0.7908,0.7778,0.7790,0.7037
3,Non-Responsive,0.4070,0.6447,0.6389,0.6386,0.5185
4,Responsive,0.6195,0.6459,0.6389,0.6337,0.5185
5,Non-Responsive,0.4849,0.5729,0.5694,0.5617,0.4259
6,Non-Responsive,0.4885,0.6196,0.5972,0.5944,0.4630
7,Non-Responsive,0.4589,0.6655,0.6806,0.6782,0.5741
8,Non-Responsive,0.4677,0.6447,0.6806,0.6802,0.5741
9,Non-Responsive,0.4626,0.5593,0.5278,0.5161,0.3704
10,Responsive,0.5419,0.6232,0.5833,0.5674,0.4444
11,Non-Responsive,0.4111,0.5281,0.5278,0.5133,0.3704
12,Non-Responsive,0.3991,0.3222,0.3056,0.2987,0.0741
13,Responsive,0.5193,0.6016,0.5694,0.5715,0.4259
14,Non-Responsive,0.4909,0.6100,0.5833,0.5816,0.4444
15,Responsive,0.6709,0.7760,0.7639,0.7662,0.6852

COHORT_SUMMARY,Total_Trials,Sample_Accuracy,Trial_Consensus_Accuracy,Trial_Macro_F1,Trial_Cohen_Kappa,Trial_ROC_AUC
RESPONSIVE_COHORT,360,0.6875,0.6667,0.6647,0.5556,0.8701
NON_RESPONSIVE_COHORT,720,0.5776,0.5722,0.5668,0.4296,0.7911
COMPLETE_POPULATION,1080,0.6143,0.6037,0.5996,0.4716,0.8181
