Subject,Session,Trial_Accuracy,Frame_Accuracy,Trial_Macro_F1,Trial_ROC_AUC,Trial_Kappa
1,1,70.83,60.40,0.7028,0.8333,0.6111
1,2,66.67,72.72,0.6728,0.8380,0.5556
1,3,62.50,66.67,0.6235,0.8704,0.5000
2,1,87.50,89.42,0.8723,0.9329,0.8333
2,2,79.17,84.01,0.7645,0.9190,0.7222
2,3,79.17,76.28,0.7937,0.9606,0.7222
3,1,58.33,58.17,0.5685,0.7569,0.4444
3,2,66.67,70.07,0.6715,0.8287,0.5556
3,3,66.67,73.60,0.6628,0.8565,0.5556
4,1,79.17,78.61,0.7908,0.9444,0.7222
4,2,91.67,93.75,0.9188,0.9722,0.8889
4,3,83.33,80.54,0.8286,0.9815,0.7778
5,1,70.83,72.74,0.7005,0.8519,0.6111
5,2,62.50,67.07,0.6244,0.7917,0.5000
5,3,66.67,70.32,0.6403,0.7870,0.5556
6,1,37.50,42.30,0.3872,0.6412,0.1667
6,2,83.33,86.18,0.8333,0.9375,0.7778
6,3,66.67,70.56,0.6760,0.9120,0.5556
7,1,83.33,82.49,0.8322,0.9468,0.7778
7,2,83.33,83.05,0.8310,0.9722,0.7778
7,3,95.83,89.29,0.9580,0.9931,0.9444
8,1,70.83,71.56,0.7083,0.8681,0.6111
8,2,70.83,78.49,0.7013,0.9491,0.6111
8,3,70.83,75.18,0.7072,0.8819,0.6111
9,1,83.33,86.49,0.8293,0.9236,0.7778
9,2,62.50,70.31,0.6188,0.8380,0.5000
9,3,45.83,46.47,0.4355,0.6852,0.2778
10,1,37.50,35.61,0.3422,0.6968,0.1667
10,2,66.67,69.95,0.6596,0.8750,0.5556
10,3,58.33,66.30,0.5813,0.7963,0.4444
11,1,62.50,65.45,0.6239,0.8241,0.5000
11,2,45.83,46.15,0.4577,0.7407,0.2778
11,3,58.33,61.80,0.5851,0.7616,0.4444
12,1,58.33,63.34,0.6023,0.8148,0.4444
12,2,50.00,49.04,0.4974,0.6736,0.3333
12,3,58.33,64.48,0.5639,0.7616,0.4444
13,1,62.50,65.10,0.5940,0.8565,0.5000
13,2,66.67,66.83,0.6679,0.8056,0.5556
13,3,66.67,68.61,0.6575,0.8681,0.5556
14,1,62.50,59.46,0.5945,0.8472,0.5000
14,2,75.00,71.03,0.7597,0.8912,0.6667
14,3,87.50,92.21,0.8747,0.9606,0.8333
15,1,66.67,70.74,0.6614,0.8981,0.5556
15,2,95.83,98.56,0.9580,1.0000,0.9444
15,3,75.00,76.76,0.7561,0.9514,0.6667
