Subject_ID,Session_ID,N_Samples,Raw_Accuracy,Smoothed_Accuracy,Macro_F1,Macro_AUC,Kappa
1,1,851,0.561692,0.564042,0.556057,0.789387,0.419586
1,2,832,0.615385,0.614183,0.610975,0.82837,0.481027
1,3,822,0.722628,0.722628,0.718967,0.89611,0.628586
2,1,851,0.687427,0.689777,0.671515,0.879702,0.581024
2,2,832,0.737981,0.737981,0.714141,0.875864,0.644214
2,3,822,0.749392,0.749392,0.749665,0.884821,0.663658
3,1,851,0.425382,0.425382,0.429744,0.710521,0.218501
3,2,832,0.668269,0.668269,0.650933,0.817982,0.55192
3,3,822,0.600973,0.603406,0.550591,0.850448,0.465641
4,1,851,0.681551,0.681551,0.651056,0.847839,0.574167
4,2,832,0.384615,0.383413,0.375347,0.664725,0.175557
4,3,822,0.678832,0.678832,0.655357,0.85183,0.569743
5,1,851,0.46181,0.46416,0.445178,0.770314,0.278474
5,2,832,0.600962,0.597356,0.547923,0.821274,0.449298
5,3,822,0.676399,0.678832,0.664281,0.844993,0.569105
6,1,851,0.321974,0.320799,0.30775,0.499113,0.086513
6,2,832,0.548077,0.548077,0.530838,0.796894,0.388666
6,3,822,0.791971,0.791971,0.796221,0.907406,0.720069
7,1,851,0.379553,0.380729,0.331484,0.731884,0.158725
7,2,832,0.665865,0.665865,0.660347,0.821684,0.547732
7,3,822,0.699513,0.699513,0.68897,0.89679,0.59943
8,1,851,0.549941,0.548766,0.523824,0.785898,0.383841
8,2,832,0.669471,0.670673,0.647832,0.825632,0.558638
8,3,822,0.693431,0.693431,0.676486,0.888436,0.58799
9,1,851,0.6604,0.663925,0.61779,0.805512,0.54967
9,2,832,0.657452,0.658654,0.610267,0.760106,0.535627
9,3,822,0.463504,0.462287,0.426279,0.686132,0.280635
10,1,851,0.596945,0.594595,0.609072,0.788292,0.464239
10,2,832,0.680288,0.676683,0.638155,0.864604,0.564315
10,3,822,0.473236,0.472019,0.450284,0.650952,0.291571
11,1,851,0.470035,0.47121,0.465838,0.709782,0.287706
11,2,832,0.370192,0.373798,0.361572,0.665522,0.155815
11,3,822,0.341849,0.339416,0.28591,0.60511,0.104943
12,1,851,0.579318,0.578143,0.557127,0.788841,0.432033
12,2,832,0.222356,0.222356,0.224499,0.464464,-0.031791
12,3,822,0.26764,0.265207,0.214708,0.567077,0.008505
13,1,851,0.527615,0.527615,0.520867,0.819763,0.373488
13,2,832,0.399038,0.397837,0.349893,0.71989,0.183361
13,3,822,0.490268,0.490268,0.477081,0.758319,0.313024
14,1,851,0.52879,0.527615,0.525505,0.761259,0.365501
14,2,832,0.520433,0.520433,0.444296,0.697254,0.353806
14,3,822,0.788321,0.793187,0.781337,0.934011,0.721799
15,1,851,0.650999,0.652174,0.642108,0.864378,0.534002
15,2,832,0.861779,0.864183,0.846901,0.965824,0.815505
15,3,822,0.73236,0.73236,0.731624,0.892533,0.642416
