subject_id,sessions_evaluated,num_trials,num_frames,frame_accuracy,frame_f1,frame_auc,frame_kappa,trial_accuracy,trial_f1,trial_auc,trial_kappa,trial_acc_ci_low,trial_acc_ci_high,trial_f1_ci_low,trial_f1_ci_high
Sub 01,3,72,2505,50.34,0.4885,0.6606,0.3320,51.39,0.4979,0.6659,0.3519,40.28,63.89,0.3773,0.6112
Sub 02,3,72,2505,50.42,0.4954,0.6716,0.3384,50.00,0.4946,0.6839,0.3333,38.89,61.11,0.3842,0.5964
Sub 03,3,72,2505,51.58,0.5123,0.6708,0.3518,51.39,0.5088,0.6656,0.3519,40.24,62.50,0.3794,0.6145
Sub 04,3,72,2505,47.03,0.4718,0.6789,0.2928,44.44,0.4480,0.6883,0.2593,33.33,55.56,0.3309,0.5492
Sub 05,3,72,2505,50.02,0.4983,0.6674,0.3314,52.78,0.5284,0.6831,0.3704,43.06,63.89,0.4190,0.6318
Sub 06,3,72,2505,47.70,0.4784,0.6915,0.3042,47.22,0.4728,0.7016,0.2963,36.11,58.33,0.3549,0.5746
Sub 07,3,72,2505,45.43,0.4480,0.6472,0.2722,45.83,0.4600,0.6741,0.2778,34.69,58.33,0.3371,0.5673
Sub 08,3,72,2505,51.90,0.5172,0.7130,0.3564,52.78,0.5272,0.7060,0.3704,41.67,63.89,0.4088,0.6373
Sub 09,3,72,2505,57.29,0.5645,0.7521,0.4279,55.56,0.5490,0.7425,0.4074,44.44,66.67,0.4335,0.6506
Sub 10,3,72,2505,40.84,0.4002,0.6811,0.2130,40.28,0.3893,0.6749,0.2037,29.17,52.78,0.2742,0.4999
Sub 11,3,72,2505,29.82,0.2910,0.5253,0.0642,31.94,0.3182,0.5162,0.0926,20.83,43.06,0.2091,0.4208
Sub 12,3,72,2505,22.71,0.2262,0.4977,-0.0350,22.22,0.2265,0.4869,-0.0370,13.89,31.94,0.1357,0.3143
Sub 13,3,72,2505,37.49,0.3604,0.6079,0.1675,36.11,0.3512,0.6062,0.1481,25.00,45.87,0.2452,0.4519
Sub 14,3,72,2505,57.17,0.5661,0.7452,0.4268,56.94,0.5638,0.7665,0.4259,45.80,68.06,0.4341,0.6701
Sub 15,3,72,2505,64.47,0.6298,0.8050,0.5239,62.50,0.6173,0.7919,0.5000,52.78,72.26,0.5031,0.7192
Population (15 Subjects),45,1080,37575,46.95,0.4659,0.6687,0.2910,46.76,0.4659,0.6721,0.2901,43.89,49.91,0.4373,0.4967
