Evaluation_Type,Subject_ID,Accuracy,Macro_F1,Cohen_Kappa
Subject-Dependent,1,0.5756013745704467,0.5450885292846448,0.4321614789066204
Subject-Dependent,2,0.8109965635738832,0.8070167553290475,0.7488466246116185
Subject-Dependent,3,0.7130584192439863,0.7162497764788801,0.6109516661663165
Subject-Dependent,4,0.7405498281786942,0.7163261511661263,0.6514016207789735
Subject-Dependent,5,0.6013745704467354,0.5622232695846625,0.46623445931255314
Subject-Dependent,6,0.6151202749140894,0.5682569408919957,0.4802659905276755
Subject-Dependent,7,0.6168384879725086,0.614747342493441,0.49449453738144855
Subject-Dependent,8,0.7903780068728522,0.765437481171272,0.7158157629316555
Subject-Dependent,9,0.6924398625429553,0.6991673808278321,0.5862504468009055
Subject-Dependent,10,0.7542955326460481,0.7343554710694152,0.6671665606891339
Subject-Dependent,11,0.3006872852233677,0.27376453141175205,0.0855592058277389
Subject-Dependent,12,0.3797250859106529,0.3249104256971762,0.1675370266179581
Subject-Dependent,13,0.5876288659793815,0.5762395133907015,0.4437741168599998
Subject-Dependent,14,0.5601374570446735,0.5583714254657305,0.4126658125554351
Subject-Dependent,15,0.7164948453608248,0.7176709736801727,0.6168317898340523
Subject-Dependent (Mean),All,0.6303550973654065,0.6119883978628567,0.5053304733201389
Subject-Dependent (Std),All,0.13816949766846726,0.1476293301141518,0.18103119332142847
Cross-Subject,13-15,0.3818,0.3575,0.1776
