Subject,Session,Trial_Accuracy,Frame_Accuracy,Trial_Macro_F1,Trial_ROC_AUC,Trial_Kappa
1,1,62.50,60.63,0.5808,0.8611,0.5000
1,2,66.67,73.80,0.6658,0.8704,0.5556
1,3,66.67,66.06,0.6280,0.8935,0.5556
2,1,75.00,79.67,0.7321,0.9421,0.6667
2,2,79.17,84.01,0.7677,0.8542,0.7222
2,3,75.00,76.16,0.7421,0.9120,0.6667
3,1,54.17,50.06,0.5159,0.7639,0.3889
3,2,70.83,74.76,0.7043,0.8773,0.6111
3,3,62.50,63.99,0.6119,0.8657,0.5000
4,1,70.83,70.04,0.7107,0.8542,0.6111
4,2,58.33,62.98,0.5857,0.8218,0.4444
4,3,66.67,66.18,0.6545,0.8611,0.5556
5,1,58.33,61.46,0.5788,0.8519,0.4444
5,2,66.67,71.51,0.6643,0.8310,0.5556
5,3,62.50,59.85,0.6267,0.7870,0.5000
6,1,41.67,46.89,0.4184,0.6296,0.2222
6,2,70.83,78.12,0.6947,0.8843,0.6111
6,3,58.33,62.77,0.5744,0.8333,0.4444
7,1,66.67,69.80,0.6542,0.8333,0.5556
7,2,75.00,77.76,0.7384,0.9306,0.6667
7,3,70.83,75.55,0.7037,0.8727,0.6111
8,1,75.00,72.15,0.7543,0.8310,0.6667
8,2,58.33,59.01,0.5653,0.8449,0.4444
8,3,66.67,67.88,0.6684,0.8333,0.5556
9,1,70.83,73.80,0.6880,0.8958,0.6111
9,2,58.33,65.38,0.5742,0.8472,0.4444
9,3,50.00,51.22,0.5019,0.7361,0.3333
10,1,45.83,47.94,0.4443,0.7384,0.2778
10,2,70.83,69.71,0.6722,0.8333,0.6111
10,3,54.17,51.34,0.5276,0.6921,0.3889
11,1,58.33,59.81,0.5685,0.8218,0.4444
11,2,45.83,42.43,0.4372,0.6690,0.2778
11,3,50.00,48.91,0.4895,0.6829,0.3333
12,1,45.83,41.60,0.4357,0.7454,0.2778
12,2,25.00,26.68,0.2506,0.4954,0.0000
12,3,37.50,41.24,0.3542,0.5880,0.1667
13,1,62.50,58.05,0.6262,0.8750,0.5000
13,2,45.83,44.83,0.4328,0.7778,0.2778
13,3,50.00,51.95,0.4714,0.8102,0.3333
14,1,54.17,46.30,0.5288,0.6875,0.3889
14,2,62.50,62.50,0.6152,0.7824,0.5000
14,3,83.33,87.83,0.8333,0.9051,0.7778
15,1,70.83,76.62,0.6750,0.9421,0.6111
15,2,87.50,93.03,0.8731,0.9329,0.8333
15,3,83.33,85.64,0.8325,0.9375,0.7778
